dataset_size,version,insertion_time,search_time,first_traversal_time,repeated_traversal_time,lowest_stock_time,peak_memory_mb
1000,Phase 2,0.0037659580000000033,0.00010879199999999645,0.0003399590000000008,0.0003153749999999997,1.1659999999968917e-06,0.38821983337402344
1000,Phase 3,0.011156874999999997,0.00010866699999999979,0.00025966699999999815,1.7499999999948113e-06,7.079999999951014e-07,0.3728189468383789
5000,Phase 2,0.019570791000000004,8.174999999999155e-05,0.0013321250000000034,0.001332250000000007,2.2080000000035405e-06,1.6885795593261719
5000,Phase 3,0.06838704200000001,0.00010104199999999564,0.0011484999999999967,8.000000000008e-06,2.000000000002e-06,1.8350505828857422
10000,Phase 2,0.06516012500000001,0.000106333000000014,0.003405292000000004,0.003053708000000016,1.2920000000138376e-06,3.1801605224609375
10000,Phase 3,0.14795233299999996,0.00010579099999996622,0.002671250000000014,1.6499999999974868e-05,1.4590000000369585e-06,3.5824661254882812
